WAERS,BUKRS,KTOSL,BELNR,BSCHL,HKONT,DMBTR,WRBTR,label
C1,C18,C3,C31,A1,B2,258630.39,15866.0,regular
C1,C12,C1,C16,A1,B1,33172.43,0.0,regular
C1,C10,C1,C12,A1,B1,229531.04,435.0,regular
C2,C20,C8,C88,A1,B3,737345.52,0.0,regular
C1,C18,C1,C14,A1,B1,650612.15,0.0,regular
C3,C37,C1,C12,A3,B1,566683.12,0.0,regular
C1,C15,C2,C21,A1,B3,189288.07,52348.0,regular
C5,C53,C1,C13,A3,B1,258095.22,0.0,regular
C1,C18,C1,C17,A1,B1,1278489.25,51651.0,regular
C1,C15,C2,C21,A1,B3,1750278.58,0.0,regular
C2,C24,C8,C83,A1,B3,442909.87,19975.0,regular
C1,C18,C1,C12,A1,B1,2381278.66,0.0,regular
C1,C17,C2,C28,A1,B3,4991081.84,0.0,regular
C2,C24,C1,C14,A1,B1,187215.38,0.0,regular
C3,C32,C1,C14,A3,B1,322812.93,245459.16,regular
C1,C13,C7,C79,A1,B2,1319308.64,0.0,regular
C1,C16,C9,C98,A1,B1,181511.15,0.0,regular
C5,C52,C1,C14,A3,B1,235878.21,0.0,regular
C4,C43,C7,C71,A2,B2,243355.43,0.0,regular
C2,C21,C3,C30,A1,B2,26756.02,0.0,regular
C5,C56,C1,C14,A3,B1,396313.33,46406.6,regular
C8,C83,C1,C11,A1,B1,930074.98,0.0,regular
C1,C15,C4,C44,A1,B3,1128783.43,0.0,regular
C1,C10,C1,C17,A1,B1,621307.13,0.0,regular
C8,C85,C1,C14,A1,B1,201850.31,24339.0,regular
C1,C13,C5,C50,A1,B1,6611124.14,0.0,regular
C8,C87,C1,C11,A1,B1,304199.26,99089.0,regular
C1,C12,C1,C14,A1,B1,3169633.37,1390.0,regular
C6,C66,C8,C86,A2,B3,14458741.23,0.0,regular
C1,C17,C8,C88,A1,B3,132091.31,0.0,regular
C1,C19,C1,C10,A1,B1,271665.07,0.0,regular
C1,C12,C2,C20,A1,B3,525091.59,79242.02,regular
C5,C51,C2,C20,A3,B3,1641366.24,0.0,regular
C7,C79,C5,C50,A3,B1,139245.75,761.0,regular
C1,C14,C4,C45,A1,B3,545565.29,0.0,regular
C1,C12,C8,C82,A1,B3,382025.34,0.0,regular
C6,C60,C1,C13,A2,B1,949799.64,44800.0,regular
C6,C68,C7,C74,A2,B2,100943.78,0.0,regular
C1,C11,C1,C17,A1,B1,379410.93,49802.0,regular
C2,C20,C1,C17,A1,B1,1794577.42,45626.0,regular
C5,C58,C1,C17,A3,B1,294286.43,51725.0,regular
C7,C76,C3,C37,A3,B2,1899640.34,61275.0,regular
C1,C16,C1,C12,A1,B1,2429817.68,0.0,regular
C2,C25,C5,C54,A1,B1,584516.85,0.0,regular
C2,C29,C2,C25,A1,B3,862730.53,0.0,regular
C1,C11,C8,C81,A1,B3,64478.79,44709.8,regular
C1,C15,C7,C71,A1,B2,192880.9,0.0,regular
C1,C10,C1,C18,A1,B1,163527.9,0.0,regular
C1,C17,C3,C34,A1,B2,766430.87,0.0,regular
C1,C19,C2,C21,A1,B3,787341.68,0.0,regular
C9,C94,C8,C86,A2,B3,362385.62,0.0,regular
C6,C66,C1,C18,A2,B1,158134.66,132645.0,regular
C1,C10,C1,C16,A1,B1,818739.43,22402.0,regular
C7,C70,C2,C20,A3,B3,802330.73,144561.0,regular
C3,C37,C1,C13,A3,B1,23396.46,0.0,regular
C1,C16,C5,C55,A1,B1,731063.16,703.0,regular
C1,C10,C1,C14,A1,B1,232388.52,0.0,regular
C1,C13,C1,C18,A1,B1,1073913.88,0.0,regular
C4,C47,C1,C18,A2,B1,308998.86,76933.0,regular
C7,C77,C1,C15,A3,B1,32490.81,492.0,regular
C1,C16,C2,C20,A1,B3,929405.42,9575.0,regular
C4,C40,C6,C64,A2,B2,138745.56,0.0,regular
C1,C12,C2,C21,A1,B3,170948.81,161654.0,regular
C6,C63,C1,C18,A2,B1,385131.92,0.0,regular
C2,C20,C1,C10,A1,B1,691318.27,11186.0,regular
C1,C19,C4,C49,A1,B3,6965744.85,0.0,regular
C4,C46,C9,C91,A2,B1,913343.64,50101.0,regular
C2,C29,C1,C10,A1,B1,423741.41,0.0,regular
C8,C82,C1,C13,A1,B1,739564.43,76594.0,regular
C4,C44,C1,C19,A2,B1,156115.14,763939.0,regular
C9,C97,C6,C66,A2,B2,637460.39,0.0,regular
C1,C10,C1,C17,A1,B1,4231516.34,0.0,regular
C8,C88,C1,C15,A1,B1,799444.15,838902.0,regular
C1,C15,C4,C45,A1,B3,2980042.18,30467.0,regular
C1,C15,C6,C63,A1,B2,92622.96,704760.0,regular
C9,C90,C6,C63,A2,B2,304500.04,0.0,regular
C1,C12,C1,C19,A1,B1,360222.53,0.0,regular
C2,C25,C1,C19,A1,B1,640170.47,277.0,regular
C5,C55,C1,C13,A3,B1,561850.69,50575.0,regular
C1,C14,C1,C13,A1,B1,1161555.12,117.0,regular
C1,C13,C9,C97,A1,B1,772017.06,11192.0,regular
C2,C21,C1,C15,A1,B1,1585982.16,87501.33,regular
C8,C88,C1,C19,A1,B1,862167.15,0.0,regular
C8,C84,C1,C17,A1,B1,473741.97,0.0,regular
C2,C21,C1,C17,A1,B1,324937.0,49532.0,regular
C2,C22,C3,C30,A1,B2,660534.03,0.0,regular
C1,C13,C1,C19,A1,B1,128259.58,10556.0,regular
C4,C48,C1,C14,A2,B1,341668.22,0.0,regular
C1,C19,C1,C18,A1,B1,219996.29,0.0,regular
C1,C19,C2,C21,A1,B3,612922.57,179370.99,regular
C1,C16,C4,C48,A1,B3,841713.63,309.0,regular
C5,C57,C1,C15,A3,B1,1880005.08,1055.0,regular
C1,C19,C5,C56,A1,B1,203032.44,58945.0,regular
C2,C20,C1,C11,A1,B1,104772.01,0.0,regular
C4,C48,C1,C17,A2,B1,440398.75,0.0,regular
C4,C49,C1,C16,A2,B1,438107.63,562030.16,regular
C4,C48,C3,C37,A2,B2,2452174.98,0.0,regular
C1,C10,C1,C13,A1,B1,342968.43,511242.31,regular
C1,C17,C4,C45,A1,B3,10000000.0,19593838.63,regular
C1,C10,C5,C55,A1,B1,1439352.44,11268.0,regular
C7,C70,C1,C18,A3,B1,10000000.0,0.0,regular
C1,C18,C2,C21,A1,B3,574471.15,0.0,regular
C5,C56,C7,C78,A3,B2,2758497.98,675642.0,regular
C3,C36,C1,C13,A3,B1,232916.36,107240.0,regular
C5,C58,C8,C84,A3,B3,339286.08,0.0,regular
C1,C16,C6,C65,A1,B2,207900.2,390961.04,regular
C1,C17,C3,C33,A1,B2,583413.87,38262.0,regular
C9,C90,C1,C10,A2,B1,607699.72,0.0,regular
C1,C13,C1,C15,A1,B1,422921.01,1047.0,regular
C1,C14,C2,C25,A1,B3,13054.2,0.0,regular
C1,C12,C4,C48,A1,B3,1072415.35,231500.14,regular
C6,C65,C6,C65,A2,B2,221924.22,0.0,regular
C2,C21,C9,C95,A1,B1,23509.13,0.0,regular
C1,C16,C6,C66,A1,B2,355249.36,0.0,regular
C5,C54,C1,C15,A3,B1,207916.99,7628.0,regular
C3,C34,C2,C27,A3,B3,1298892.77,119268.0,regular
C2,C26,C1,C12,A1,B1,971886.86,0.0,regular
C1,C11,C8,C82,A1,B3,1330187.23,41967.0,regular
C1,C19,C1,C11,A1,B1,818957.23,113621.0,regular
C8,C82,C1,C17,A1,B1,1106591.98,374.0,regular
C2,C21,C8,C88,A1,B3,981278.97,0.0,regular
C1,C17,C7,C74,A1,B2,1108916.46,103617.0,regular
C1,C16,C1,C17,A1,B1,708041.18,32161.14,regular
C1,C17,C1,C18,A1,B1,735612.37,0.0,regular
C1,C13,C5,C56,A1,B1,1163923.75,51131.0,regular
